종목코드,종목명,종가,대비,등락률,상장시가총액
"361610","SK아이이테크놀로지","28400","-1400","-4.70","2322754.0"
"462870","시프트업","36650","50","0.14","2160937.0"
"489790","한화비전","45750","-2600","-5.38","2309844.0"
"139130","iM금융지주","14120","-100","-0.70","2288212.0"
"139480","이마트","80000","-400","-0.50","2207666.0"
"020150","롯데에너지머티리얼즈","41200","2200","5.64","2157457.0"
"023530","롯데쇼핑","74300","1000","1.36","2101854.0"
"004170","신세계","228000","-4500","-1.94","2199101.0"
"069960","현대백화점","95600","2000","2.14","2163315.0"
"004800","효성","122900","-7100","-5.46","2057396.0"
"006040","동원산업","46100","-450","-0.97","2035222.0"
"009420","한올바이오파마","43950","-1500","-3.30","2295976.0"
"000120","CJ대한통운","94500","600","0.64","2155767.0"
"003690","코리안리","11130","-210","-1.85","2168358.0"
"028670","팬오션","3750","-50","-1.32","2004636.0"
"282330","BGF리테일","112500","1200","1.08","1944439.0"
"336260","두산퓨얼셀","30050","-1950","-6.09","1968086.0"
"097230","HJ중공업","20100","-1100","-5.19","1814936.0"
"192820","코스맥스","174100","6400","3.82","1975950.0"
"204320","HL만도","39350","-250","-0.63","1847763.0"
"010060","OCI홀딩스","102500","-5800","-5.36","1928529.0"
"032350","롯데관광개발","21950","-400","-1.79","1745892.0"
"069620","대웅제약","172000","-100","-0.06","1992891.0"
"007070","GS리테일","22500","200","0.90","1881167.0"
"008770","호텔신라","48450","-50","-0.10","1901571.0"
"020560","아시아나항공","8320","-110","-1.30","1713843.0"
"267270","HD현대건설기계","90400","-1900","-2.06","1569128.0"
"395400","SK리츠","5280","-90","-1.68","1561592.0"
"457190","이수스페셜티케미컬","48600","-2700","-5.26","1468122.0"
"483650","달바글로벌","131800","-1500","-1.13","1626928.0"
"073240","금호타이어","5260","40","0.77","1510989.0"
"085620","미래에셋생명","8940","-160","-1.76","1582525.0"
"112610","씨에스윈드","40100","-1250","-3.02","1691073.0"
"161890","한국콜마","67200","1000","1.51","1586261.0"
"023590","다우기술","35600","-1000","-2.73","1597252.0"
"034230","파라다이스","18090","-310","-1.68","1671617.0"
"047040","대우건설","3455","-45","-1.29","1435976.0"
"005070","코스모신소재","45500","-2900","-5.99","1479239.0"
"005850","에스엘","36100","-400","-1.10","1676792.0"
"006280","녹십자","130600","-3300","-2.46","1526262.0"
"006360","GS건설","18800","-310","-1.62","1608932.0"
"007310","오뚜기","391000","2000","0.51","1567062.0"
"011210","현대위아","55200","-200","-0.36","1501169.0"
"375500","DL이앤씨","39200","-850","-2.12","1516790.0"
"280360","롯데웰푸드","122200","-1500","-1.21","1137019.0"
"004000","롯데정밀화학","45150","-1400","-3.01","1164870.0"
"294870","HDC현대산업개발","20300","1270","6.67","1337919.0"
"300720","한일시멘트","17640","-80","-0.45","1297337.0"
"484870","엠앤씨솔루션","136400","-14400","-9.55","1248592.0"
"071320","지역난방공사","104000","-600","-0.57","1204189.0"
"077970","STX엔진","30650","-1300","-4.07","1230538.0"
"089860","롯데렌탈","33000","-200","-0.60","1198210.0"
"100090","SK오션플랜트","18940","-580","-2.97","1183336.0"
"120110","코오롱인더","41050","-2700","-6.17","1129659.0"
"137310","에스디바이오센서","9020","-120","-1.31","1098177.0"
"181710","NHN","32750","0","0.00","1105841.0"
"185750","종근당","84900","-1300","-1.51","1171856.0"
"192080","더블유게임즈","51800","-900","-1.71","1113488.0"
"017960","한국카본","26700","-1650","-5.82","1385956.0"
"005300","롯데칠성","124600","2900","2.38","1156149.0"
"005440","현대지에프홀딩스","8240","-200","-2.37","1284651.0"
"006120","SK디스커버리","61900","-3300","-5.06","1135732.0"
"007340","DN오토모티브","23150","100","0.43","1354527.0"
"415640","KB발해인프라","9770","-70","-0.71","1197270.0"
"330590","롯데리츠","3970","5","0.13","1147206.0"
"365550","ESR켄달스퀘어리츠","4415","-25","-0.56","1086483.0"
"000080","하이트진로","18840","-50","-0.26","1321317.0"
"000500","가온전선","67200","-3400","-4.82","1111697.0"
"000670","영풍","57400","-500","-0.86","1096825.0"
"001120","LX인터내셔널","30950","-150","-0.48","1199622.0"
"001800","오리온홀딩스","19820","-30","-0.15","1241632.0"
"003090","대웅","23000","-400","-1.71","1337266.0"
"003540","대신증권","27100","-450","-1.63","1375959.0"
"003570","SNT다이내믹스","41550","-1150","-2.69","1381650.0"
"285130","SK케미칼","71200","-2600","-3.52","1231672.0"
"281820","케이씨텍","37950","-4600","-10.81","785198.0"
"003530","한화투자증권","5010","-160","-3.09","1074884.0"
"298050","HS효성첨단소재","198200","-1800","-0.90","887926.0"
